Step,311,312,lr1,lr2
48844,0.175568759,0.137889177,0.245976985,0.245976985
49272,0.197312757,0.157091111,0.24387756,0.24387756
49326,0.223475441,0.182534039,0.247475833,0.247475833
49351,0.218760028,0.119335733,0.164147973,0.164147973
49477,0.194991052,0.188874185,0.156325072,0.156325072
49558,0.143974185,0.173716441,0.152449608,0.152449608
49619,0.119366348,0.123869263,0.120201595,0.120201595
50006,0.205496997,0.260355413,0.154812276,0.154812276
50056,0.184242487,0.183715731,0.12686789,0.12686789
50149,0.209858745,0.224405706,0.3854478,0.3854478
50165,0.170088291,0.147154734,0.266696513,0.266696513
50195,0.138726667,0.115052491,0.201949075,0.201949075
50268,0.165697381,0.181052536,0.271822482,0.271822482
50629,0.168782443,0.198673368,0.232728794,0.232728794
50819,0.196232781,0.159041777,0.396617234,0.396617234
50979,0.202026486,0.174165681,0.128178537,0.128178537
51134,0.203592986,0.204199344,0.251562744,0.251562744
51227,0.163465142,0.121327713,0.104978144,0.104978144
51282,0.19414711,0.182866365,0.179323763,0.179323763
51342,0.178539082,0.172990844,0.131644413,0.131644413
51750,0.136048838,0.214532852,0.172149599,0.172149599
51798,0.191746369,0.159609914,0.281627923,0.281627923
51806,0.204535946,0.192103088,0.146475598,0.146475598
51954,0.167108119,0.187660873,0.407262832,0.407262832
52001,0.185251921,0.178321585,0.229672372,0.229672372
52067,0.213611871,0.207179174,0.153672844,0.153672844
52237,0.186714038,0.211578578,0.211800486,0.211800486
52292,0.175314441,0.24316372,0.166693062,0.166693062
52353,0.227725178,0.217471629,0.234054983,0.234054983
52510,0.130972818,0.113213748,0.226158917,0.226158917
52528,0.22779721,0.245431632,0.140179724,0.140179724
52682,0.186179012,0.191221863,0.111511856,0.111511856
52906,0.170655921,0.170177892,0.316842318,0.316842318
52939,0.175426453,0.220164418,0.19069317,0.19069317
53092,0.184262872,0.139364496,0.14868778,0.14868778
53107,0.226997793,0.232832238,0.135455191,0.135455191
53468,0.260445207,0.077278882,0.218713388,0.218713388
53706,0.216375977,0.240020052,0.236426055,0.236426055
53713,0.214881286,0.219712839,0.190774679,0.190774679
53717,0.227413774,0.176576957,0.183584005,0.183584005
53721,0.191934854,0.186102778,0.218783677,0.218783677
53862,0.177251011,0.173485443,0.161228508,0.161228508
53906,0.118626505,0.247613013,0.20834893,0.20834893
54072,0.181477085,0.205993518,0.240483969,0.240483969
54087,0.200839162,0.180254295,0.171463847,0.171463847
54108,0.233081609,0.189029574,0.122979879,0.122979879
54123,0.135410875,0.176482454,0.242415518,0.242415518
54241,0.14574194,0.159776449,0.230379105,0.230379105
54691,0.162201285,0.147928178,0.165856004,0.165856004
54807,0.214372277,0.208878249,0.224967331,0.224967331
54937,0.163049698,0.105645046,0.188677341,0.188677341
54982,0.192268848,0.220968306,0.092020445,0.092020445
55193,0.22020179,0.179292768,0.262633383,0.262633383
55299,0.164692014,0.189868048,0.11984773,0.11984773
55302,0.179437786,0.197228491,0.1707948,0.1707948
55328,0.180720627,0.154412448,0.182513177,0.182513177
55359,0.189183682,0.189859509,0.255949229,0.255949229
55543,0.177200466,0.183226392,0.173062414,0.173062414
55551,0.213618129,0.217454687,0.162454426,0.162454426
55713,0.205263361,0.208635464,0.211114049,0.211114049
55766,0.209947944,0.185259238,0.223920986,0.223920986
56091,0.193552762,0.192781255,0.235745072,0.235745072
56337,0.152594686,0.175845474,0.246861607,0.246861607
56507,0.195530891,0.184792146,0.246052474,0.246052474
